"LearnDirectClassSystemCode","LearnDirectClassSystemCodeDesc","LearnDirectClassSystemCodeDesc2","EffectiveFrom","EffectiveTo"
"ND.2","Conferencing (Hotel)","Conf (Hotel)","26 Mar 2001",""
"ND.3","Front Of House (Hotel)","Front Of House (Hotel)","26 Mar 2001",""
"ND.31","Hotel Reception","Hotel Recep","26 Mar 2001",""
"ND.32","Portering / Concierge (Hotel)","Portering/ Concierge (Hotel)","26 Mar 2001",""
"ND.4","Domestic Services / Housekeeping","Dom Svc/ Housekeep","26 Mar 2001",""
"NE.","Baking / Dairy / Food and Drink Processing","Baking/ Dairy/ Food Drink Prcss","26 Mar 2001",""
"NE.1","Food Preparation (General)","Food Prep (Gen)","26 Mar 2001",""
"NE.11","Food Preservation (Domestic / Small Scale)","Food Pres (Dom/ Small Scale)","26 Mar 2001",""
"NE.2","Baking / Confectionery","Baking/ Confect","26 Mar 2001",""
"NE.21","Bakery (Non-Industrial)","Bakery (Non-Ind)","26 Mar 2001",""
"NE.22","Cake Making / Decorating","Cake Making/ Decorating","26 Mar 2001",""
"NE.221","Cake Making","Cake Making","26 Mar 2001",""
"NE.222","Cake Decoration","Cake Décor","26 Mar 2001",""
"NE.23","Pastry Craft","Pastry Craft","26 Mar 2001",""
"NE.24","Chocolate Craft","Chocolate Craft","26 Mar 2001",""
"NE.25","Sugar Confectionery Craft","Sugar Confect Craft","26 Mar 2001",""
"NE.3","Dairy Foods (Small Scale)","Dairy Foods (Small Scale)","26 Mar 2001",""
"NE.4","Meat / Fish Processing (Craft / Small Scale)","Meat/ Fish Prcss","26 Mar 2001",""
"NE.5","Fruit / Vegetable Processing (Small Scale)","Fruit/ Veg Prcss (Small Scale)","26 Mar 2001",""
"NE.6","Brewing / Winemaking (Non-Industrial)","Brewing/ Winemaking (Non-Ind)","26 Mar 2001",""
"NE.7","Wine / Food Appreciation","Wine/ Food App","26 Mar 2001",""
"NE.71","Wine Tasting/Appreciation","Wine Tasting/ App","26 Mar 2001",""
"NF.","Cookery","Cook","26 Mar 2001",""
"NF.1","Cookery Professional","Cook Prof","26 Mar 2001",""
"NF.11","Hotel / Restaurant Cooking","Hotel/ Restaurant Cooking","26 Mar 2001",""
"NF.13","Chef Studies","Chef Stud","26 Mar 2001",""
"NF.14","Larder Cookery","Larder Cook","26 Mar 2001",""
"NF.2","Cookery Specialisations","Cook Specisations","26 Mar 2001",""
"NF.21","Vegetarian / Vegan Cookery","Vegetarian/ Vegan Cook","26 Mar 2001",""
"NF.22","Cookery Of Specific Cultures","Cook Of Spec Cult","26 Mar 2001",""
"NF.23","Cookery Of Specific Foods","Cook Of Spec Foods","26 Mar 2001",""
"NF.24","Diet Cookery","Diet Cook","26 Mar 2001",""
"NF.25","Party Foods","Party Foods","26 Mar 2001",""
"NF.3","Health Foods / Wholefoods Cookery","Hlth Foods/ Wholefoods Cook","26 Mar 2001",""
"NF.32","Wholefoods Cookery","Wholefoods Cook","26 Mar 2001",""
"NF.4","Cookery Domestic","Cook Dom","26 Mar 2001",""
"NF.5","Cookery Classical / Modern","Cook Class/ Mdm","26 Mar 2001",""
"NF.6","Cookery Specific Appliances / Methods","Cook Spec Apps/ Mth","26 Mar 2001",""
"NF.7","Cookery Local Traditional","Cook Local Trad","26 Mar 2001",""
"NF.8","Food Decoration","Food Décor","26 Mar 2001",""
"NG.","Home Economics","Home Econ","26 Mar 2001",""
"NH.","Food Science / Technology","Food Sci/ Tech","26 Mar 2001",""
"NH.1","Food Science","Food Sci","26 Mar 2001",""
"NH.2","Nutrition / Dietetics","Nutrition/ Dietetics","26 Mar 2001",""
"NH.21","Dietetics","Dietetics","26 Mar 2001",""
"NH.22","Nutrition","Nutrition","26 Mar 2001",""
"NH.3","Food Hygiene","Food Hygiene","26 Mar 2001",""
"NH.4","Food Analysis","Food Anlys","26 Mar 2001",""
"NH.5","Food Inspection","Food Insp","26 Mar 2001",""
"NH.6","Food Technology","Food Tech","26 Mar 2001",""
"NH.62","Food Biotechnology","Food Biotech","26 Mar 2001",""
"NH.63","Food Chemistry","Food Chem","26 Mar 2001",""
"NH.64","Food Microbiology","Food Microbiol","26 Mar 2001",""
"NK.","Tourism / Travel","Tour/ Trv","26 Mar 2001",""
"NK.1","Tourism","Tour","26 Mar 2001",""
"NK.13","Tourist Guiding","Tourist Guiding","26 Mar 2001",""
"NK.14","Tourism Development / Promotion","Tour Dev/ Promotion","26 Mar 2001",""
"NK.15","Tourist Information","Tourist Info","26 Mar 2001",""
"NK.16","Tour Organisation (Domestic)","Tour Org (Dom)","26 Mar 2001",""
"NK.17","Ticket Agency Management","Ticket Agency Mngm","26 Mar 2001",""
"NK.18","Tourism Management","Tour Mngm","26 Mar 2001",""
"NK.2","Travel","Trv","26 Mar 2001",""
"NK.21","Travel Studies","Trv Stud","26 Mar 2001",""
"NK.22","Business Travel","Bus Trv","26 Mar 2001",""
"NK.23","Personal Travel","Pers Trv","26 Mar 2001",""
"NK.24","Tour Operation (Abroad)","Tour Op (Abroad)","26 Mar 2001",""
"NK.25","Travel Agency Work","Trv Agency Wrk","26 Mar 2001",""
"NK.26","Fares and Ticketing (Travel)","Fares & Ticketing (Trv)","26 Mar 2001",""
"NK.27","Travel Courier / Resort Representative","Trv Courier/ Rsrt Rep","26 Mar 2001",""
"NL.","Leisure / Sports Facilities Work","Lsr/ Sports Fac Wrk","26 Mar 2001",""
"NL.1","Leisure Studies","Lsr Stud","26 Mar 2001",""
"NL.2","Leisure / Recreation Management","Lsr/ Recreation Mngm","26 Mar 2001",""
"NL.3","Leisure Facilities Work","Lsr Fac Wrk","26 Mar 2001",""
"NL.4","Sports Facilities Work","Sports Fac Wrk","26 Mar 2001",""
"NL.5","Zoos / Safari Parks Work","Zoos/ Safari Parks Wrk","26 Mar 2001",""
"NM.","Country Leisure Facilities Work","Country Lsr Fac Wrk","26 Mar 2001",""
"NM.1","Fishing Facilities Work","Fishing Fac Wrk","26 Mar 2001",""
"NM.2","Hunting / Shooting Facilities Work","Hunting/ Shoot Fac Wrk","26 Mar 2001",""
"NM.3","Horse / Pony Riding Facilities Work","Horse/ Pony Riding Fac Wrk","26 Mar 2001",""
"NM.4","Nature Trails Work","Nature Trails Wrk","26 Mar 2001",""
"NM.5","Marine Leisure Facilities Work","Marine Lsr Fac Wrk","26 Mar 2001",""
"NM.6","Inland Waterway Leisure Facilities Work","Inland Waterway Lsr Fac Wrk","26 Mar 2001",""
"NM.7","Camping / Caravan Site Work","Camping/ Caravan Site Wrk","26 Mar 2001",""
"NM.8","Golf Course Management","Golf Course Mngm","24 Jan 2005",""
"NN.","Arts / Culture / Heritage Administration","Arts/ Cult/ Hrtg Admin","26 Mar 2001",""
"NN.1","Arts / Culture Administration","Arts/ Cult Admin","26 Mar 2001",""
"NN.2","Art Galleries Administration","Art Galleries Admin","26 Mar 2001",""
"NN.4","Arts Centre Administration","Arts Centre Admin","26 Mar 2001",""
"NN.5","Concert Halls Administration","Concert Halls Admin","26 Mar 2001",""
"NN.6","Museums Administration","Museums Admin","26 Mar 2001",""
"NN.7","Theatre / Cinema Business Administration","Theatre/ Cinema Bus Admin","26 Mar 2001",""
"NN.8","Heritage Administration/Management","Hrtg Admin/ Mngm","26 Mar 2001",""
"NN.9","Festivals Administration","Festivals Admin","26 Mar 2001",""
"NUL","Null Value","Null Value","26 Mar 2001",""
"P","Health Care / Medicine / Health and Safety","Hlth Cr/ Medic/ Hlth & Sfty","26 Mar 2001",""
"PA.","Health Care Management / Health Studies","Hlth Cr Mngm/ Hlth Stud","26 Mar 2001",""
"PA.1","Health Studies","Hlth Stud","26 Mar 2001",""
"PA.2","Health Service Administration / Management","Hlth Svce Admin/ Mngm","26 Mar 2001",""
"PA.21","Health Service Policy / Planning","Hlth Svce Policy/ Plan","26 Mar 2001",""
"PA.23","Community Health Care Administration","Comm Hlth Cr Admin","26 Mar 2001",""
"PA.3","Health Practice Administration","Hlth Prac Admin","26 Mar 2001",""
"PA.4","Health Care Resources / Financial Administration","Hlth Cr Ress/ Fin Admin","26 Mar 2001",""
"PA.5","Health Unit Quality Control and Administration","Hlth Unit Qlty Cont & Admin","26 Mar 2001",""
"PA.51","Health Unit Administration","Hlth Unit Admin","26 Mar 2001",""
"PA.53","Health Care Quality Control","Hlth Cr Qlty Cont","26 Mar 2001",""
"PA.531","Health Care Performance Assessment","Hlth Cr Perf Assm","26 Mar 2001",""
"PA.55","Health Care Staff Administration / Training","Hlth Cr Staff Admin/ Trn","26 Mar 2001",""
"PA.56","Clinical Services Administration","Clinical Svc Admin","26 Mar 2001",""
"PA.562","Nursing Services Administration","Nrsg Svc Admin","26 Mar 2001",""
"PA.6","Medical Support Services","Medic Supp Svc","26 Mar 2001",""
"PA.61","Medical Support Services Administration","Medic Supp Svc Admin","26 Mar 2001",""
"PA.62","Medical Reception","Medic Recep","26 Mar 2001",""
"PA.63","Medical Records","Medic Records","26 Mar 2001",""
"PA.7","Primary Health Care","Primary Hlth Cr","26 Mar 2001",""
"PA.8","Health Legal / Ethical Issues","Hlth Legal/ Ethical Issues","26 Mar 2001",""
"PA.81","Health Legal Issues","Hlth Legal Issues","26 Mar 2001",""
"PA.83","Medical Ethics","Medic Ethics","26 Mar 2001",""
"PA.9","Health Promotion","Hlth Promotion","26 Mar 2001",""
"PA.91","Health Education","Hlth Ed","26 Mar 2001",""
"PA.911","Medical Terminology","Medic Terminology","11 Dec 2006",""
"PA.92","Public Health Information","Pub Hlth Info","26 Mar 2001",""
"PA.93","Health Hazards Awareness","Hlth Hzrd Awrn","26 Mar 2001",""
"PA.931","Drugs / Alcohol Awareness","Drugs/ Alcohol Awrn","26 Mar 2001",""
"PA.932","Aids/Hiv Awareness","Aids/ Hiv Awrn","26 Mar 2001",""
"PA.933","Substance Abuse Awareness","Subs Abuse Awrn","26 Mar 2001",""
"PA.934","Infection Control Awareness","Infection Cont Awrn","11 Dec 2006",""
"PB.","Medical Sciences","Medic Scis","26 Mar 2001",""
"PB.2","Surgery","Surgery","26 Mar 2001",""
"PB.22","Accident and Emergency Surgery","Accident & Emrgn Surgery","26 Mar 2001",""
"PB.23","Orthopedics","Orthopedics","26 Mar 2001",""
"PB.3","Medicine (General)","Medic (Gen)","26 Mar 2001",""
"PB.31","General Medical Practice","Gen Medic Prac","26 Mar 2001",""
"PB.32","Community Medicine","Comm Medic","26 Mar 2001",""
"PB.33","Preventive Medicine","Preventive Medic","26 Mar 2001",""
"PB.4","Medical Specialisations A-E","Medic Specisations A-E","26 Mar 2001",""
"PB.41","Aerospace Medical Studies","Aerospace Medic Stud","26 Mar 2001",""
"PB.42","Anesthesiology","Anesthesiology","26 Mar 2001",""
"PB.44","Cardiovascular Medical Studies","Cardiovascular Medic Stud","26 Mar 2001",""
"PB.441","Cardiology","Cardiology","26 Mar 2001",""
"PB.45","Dermatology","Dermatology","26 Mar 2001",""
"PB.46","Ear Nose and Throat Medical Studies","Ear Nose & Throat Medic Stud","26 Mar 2001",""
"PB.461","Audiology","Audiology","26 Mar 2001",""
"PB.47","Endocrinology (Medicine)","Endocrinology (Medic)","26 Mar 2001",""
"PB.48","Epidemiology","Epidemiology","26 Mar 2001",""
"PB.481","Medical Statistics","Medic Stats","26 Mar 2001",""
"PB.5","Medical Specialisations F-O","Medic Specisations F-O","26 Mar 2001",""
"PB.51","Forensic Medical Studies","Forensic Medic Stud","26 Mar 2001",""
"PB.52","Gastroenterology","Gastroenterology","26 Mar 2001",""
"PB.53","Geriatric Medical Studies","Geriatric Medic Stud","26 Mar 2001",""
"PB.54","Gynecology","Gynecology","26 Mar 2001",""
"PB.55","Haematology","Haematology","26 Mar 2001",""
"PB.56","Neurology","Neurology","26 Mar 2001",""
"PB.57","Obstetrics","Obstetrics","26 Mar 2001",""
"PB.58","Oncology","Oncology","26 Mar 2001",""
"PB.59","Ophthalmology","Ophthalmology","26 Mar 2001",""
"PB.6","Medical Specialisations P-Z","Medic Specisations P-Z","26 Mar 2001",""
"PB.61","Pediatrics","Pediatrics","26 Mar 2001",""
"PB.62","Pathology","Pathology","26 Mar 2001",""
"PB.621","Immunology (Medicine)","Immunology (Medic)","26 Mar 2001",""
"PB.63","Respiratory / Chest Diseases","Respiratory/ Chest Diseases","26 Mar 2001",""
"PB.64","Rheumatology","Rheumatology","26 Mar 2001",""
"PB.65","Sports Medicine","Sports Medic","26 Mar 2001",""
"PB.651","Sports Injuries","Sports Injuries","26 Mar 2001",""
"PB.66","Tropical Medicine","Trop Medic","26 Mar 2001",""
"PB.67","Urology","Urology","26 Mar 2001",""
"PB.68","Venereology","Venereology","26 Mar 2001",""
"PB.7","Medical Radiology","Medic Radiology","26 Mar 2001",""
"PB.71","Medical Radiodiagnosis","Medic Radiodiagnosis","26 Mar 2001",""
"PB.72","Radiotherapy","Radiothapy","26 Mar 2001",""
"PB.8","Psychiatry","Psychiatry","26 Mar 2001",""
"PB.81","Psychoanalysis","Psychoanlys","26 Mar 2001",""
"PC.","Complementary Medicine","Complementary Medic","26 Mar 2001",""
"PC.1","Chiropractic","Chiropractic","26 Mar 2001",""
"PC.2","Holistic Medicine","Holistic Medic","26 Mar 2001",""
"PC.3","Homeopathy","Homeopathy","26 Mar 2001",""
"PC.4","Naturopathy","Naturopathy","26 Mar 2001",""
"PC.5","Osteopathy","Osteopathy","26 Mar 2001",""
"PC.6","Acupuncture","Acupuncture","26 Mar 2001",""
"PC.61","Acupressure","Acupressure","26 Mar 2001",""
"PC.7","Herbal Medicine","Herbal Medic","26 Mar 2001",""
"PC.8","Hydrotherapy","Hydrothapy","26 Mar 2001",""
"PD.","Paramedical Services / Supplementary Medicine","Paramedic Svc/ Supp Medic","26 Mar 2001",""
"PD.1","Medical Assistant Skills (Hospital)","Medic Assskl (Hospital)","26 Mar 2001",""
"PD.11","Hospital Operating Assistant Skills","Hospital Op Assskl","26 Mar 2001",""
"PD.13","Health Care Assistant Skills","Hlth Cr Assskl","26 Mar 2001",""
"PD.2","Blood Donor Services","Blood Donor Svc","26 Mar 2001",""
"PD.4","Emergency Clinical Care","Emrgn Clinical Cr","26 Mar 2001",""
"PD.5","Paramedical Work","Paramedic Wrk","26 Mar 2001",""
"PD.6","Ambulance Services","Ambulance Svc","26 Mar 2001",""
"PE.","Medical Technology / Pharmacology","Medic Tech/ Pharmacology","26 Mar 2001",""
"PE.1","Medical Technology","Medic Tech","26 Mar 2001",""
"PE.11","Cardiography","Cardiogrphy","26 Mar 2001",""
"PE.12","Medical Radiography","Medic Radiogrphy","26 Mar 2001",""
"PE.13","Medical Electronics","Medic Elecs","26 Mar 2001",""
"PE.131","Ultrasound Medical","Ultrasound Medic","26 Mar 2001",""
"PE.15","Diagnostic Imaging","Diagnostic Imaging","26 Mar 2001",""
"PE.2","Medical Laboratory Science / Practice","Medic Lab Sci/ Prac","26 Mar 2001",""
"PE.3","Pathology Technician Work","Pathology Tech Wrk","26 Mar 2001",""
"PE.4","Theatre Technician Work (Hospital)","Theatre Tech Wrk (Hospital)","26 Mar 2001",""
"PE.5","Prosthetics (Medical Technology)","Prosthetics (Medic Tech)","26 Mar 2001",""
"PE.51","Biomechanics","Biomechanics","26 Mar 2001",""
"PE.53","Biomedical Engineering","Biomedic Engnr","24 Jan 2005",""
"PE.6","Pharmacology","Pharmacology","26 Mar 2001",""
"PE.61","Chemotherapy","Chemothapy","26 Mar 2001",""
"PE.7","Pharmacy","Pharmacy","26 Mar 2001",""
"PE.72","Drug Dispensing (Pharmacy)","Drug Dispensing (Pharmacy)","26 Mar 2001",""
"PE.721","Dispensing Technicians (Pharmacy)","Dispensing Techs (Pharmacy)","26 Mar 2001",""
"PE.8","Physiological Measurement","Physiological Measurement","26 Mar 2001",""
"PF.","Dental Services","Dent Svc","26 Mar 2001",""
"PF.1","Dentistry","Dentistry","26 Mar 2001",""
"PF.12","Orthodontics","Orthodontics","26 Mar 2001",""
"PF.13","Endodontics","Endodontics","26 Mar 2001",""
"PF.14","Periodontics","Periodontics","26 Mar 2001",""
"PF.15","Preventive Dentistry","Preventive Dentistry","26 Mar 2001",""
"PF.16","Restorative Dentistry","Restorative Dentistry","26 Mar 2001",""
"PF.17","Prosthetic Dentistry","Prosthetic Dentistry","26 Mar 2001",""
"PF.2","Dentistry Specialisms","Dentistry Specisms","26 Mar 2001",""
"PF.22","Child Dentistry","Child Dentistry","26 Mar 2001",""
"PF.23","Community Dentistry","Comm Dentistry","26 Mar 2001",""
"PF.3","Dental Surgery Assistants","Dent Surgery Asss","26 Mar 2001",""
"PF.4","Dental Technology","Dent Tech","26 Mar 2001",""
"PF.41","Dental Mechanics","Dent Mechanics","26 Mar 2001",""
"PF.42","Dental Radiology","Dent Radiology","26 Mar 2001",""
"PF.5","Dental Practice Administration","Dent Prac Admin","26 Mar 2001",""
"PF.7","Dental Hygiene","Dent Hygiene","26 Mar 2001",""
"PF.8","Dental Health Education","Dent Hlth Ed","26 Mar 2001",""
"PG.","Ophthalmic Services","Ophthalmic Svc","26 Mar 2001",""
"PG.1","Optometry","Optometry","26 Mar 2001",""
"PG.2","Orthoptics","Orthoptics","26 Mar 2001",""
"PG.4","Optical Dispensing","Op Dispensing","26 Mar 2001",""
"PH.","Nursing","Nrsg","26 Mar 2001",""
"PH.1","Nursing Studies","Nrsg Stud","26 Mar 2001",""
"PH.11","Pre Nursing Studies","Pre Nrsg Stud","26 Mar 2001",""
"PH.13","Registered General Nursing","Registered Gen Nrsg","26 Mar 2001",""
"PH.2","Community Nursing","Comm Nrsg","26 Mar 2001",""
"PH.22","District Nursing","District Nrsg","26 Mar 2001",""
"PH.23","Practice Nursing","Prac Nrsg","26 Mar 2001",""
"PH.24","Patient Aid Work","Patient Aid Wrk","26 Mar 2001",""
"PH.25","Health Visiting","Hlth Visiting","26 Mar 2001",""
"PH.26","School Nursing","Sch Nrsg","26 Mar 2001",""
"PH.27","Family Planning Nursing","Fam Plan Nrsg","26 Mar 2001",""
"PH.3","Occupational Health Nursing","Occal Hlth Nrsg","26 Mar 2001",""
"PH.4","Mental Health / Addiction Nursing","Ment Hlth/ Addc Nrsg","26 Mar 2001",""
"PH.41","Mental Health Nursing (General)","Ment Hlth Nrsg (Gen)","26 Mar 2001",""
"PH.42","Community Mental Health Nursing","Comm Ment Hlth Nrsg","26 Mar 2001",""
"PH.45","Addiction (Nursing)","Addc (Nrsg)","26 Mar 2001",""
"PH.5","Nursing Specialisms","Nrsg Specisms","26 Mar 2001",""
"PH.51","Geriatric Nursing","Geriatric Nrsg","26 Mar 2001",""
"PH.52","Intensive Care Nursing","Intensive Cr Nrsg","26 Mar 2001",""
"PH.53","Midwifery","Midwifery","26 Mar 2001",""
"PH.54","Operating Theatre Nursing","Op Theatre Nrsg","26 Mar 2001",""
"PH.55","ChildrenS Nursing","Childs Nrsg","26 Mar 2001",""
"PH.551","Child Abuse Awareness (Nursing)","Child Abuse Awrn (Nrsg)","26 Mar 2001",""
"PH.56","Infection Control Nursing","Infection Cont Nrsg","11 Dec 2006",""
"PH.57","Drug Medicine Control (Nursing)","Drug Medic Cont (Nrsg)","11 Dec 2006",""
"PH.6","Nursing Specific Conditions","Nrsg Spec Cond","26 Mar 2001",""
"PH.61","Aids Nursing","Aids Nrsg","26 Mar 2001",""
"PH.62","Cancer Nursing","Cancer Nrsg","26 Mar 2001",""
"PH.63","Care Of Dying (Nursing)","Cr Of Dying (Nrsg)","26 Mar 2001",""
"PH.64","Diabetes Nursing","Diabetes Nrsg","26 Mar 2001",""
"PH.65","Physical Disability Nursing","Phys Disability Nrsg","26 Mar 2001",""
"PJ.","Semi-Medical / Physical / Psycho / Therapies","Semi-Medic/ Phys/ Psycho/ Thrp","26 Mar 2001",""
"PJ.1","Occupational Therapy","Occal Thrp","26 Mar 2001",""
"PJ.11","Drama Therapy","Drama Thrp","26 Mar 2001",""
"PJ.12","Music Therapy","Mus Thrp","26 Mar 2001",""
"PJ.13","Art Therapy","Art Thrp","26 Mar 2001",""
"PJ.14","Dance Therapy","Dnc Thrp","26 Mar 2001",""
"PJ.15","Hospital Play Therapy","Hospital Play Thrp","26 Mar 2001",""
"PJ.2","Physiotherapy","Physiothapy","26 Mar 2001",""
"PJ.23","Massage","Massage","26 Mar 2001",""
"PJ.25","Sports Physiotherapy","Sports Physiothapy","26 Mar 2001",""
"PJ.3","Speech Therapy","Speech Thrp","26 Mar 2001",""
"PJ.4","Hyperbaric Medicine","Hyperbaric Medic","26 Mar 2001",""
"PJ.5","Chiropody","Chiropody","26 Mar 2001",""
"PJ.6","Psychotherapy","Psychothapy","26 Mar 2001",""
"PJ.61","Gestalt Therapy","Gestalt Thrp","26 Mar 2001",""
"PK.","Psychology","Psych","26 Mar 2001",""
"PK.1","Psychology (General)","Psych (Gen)","26 Mar 2001",""
"PK.11","Clinical Psychology","Clinical Psych","26 Mar 2001",""
"PK.12","Applied Psychology","Applied Psych","26 Mar 2001",""
"PK.2","Behavioural Psychology","Bhvrl Psych","26 Mar 2001",""
"PK.22","Behaviour Therapy","Bhvr Thrp","26 Mar 2001",""
"PK.23","Group Dynamics","Grp Dynamics","26 Mar 2001",""
"PK.3","Child Psychology","Child Psych","26 Mar 2001",""
"PK.31","Developmental Psychology","Deval Psych","26 Mar 2001",""
"PK.32","Educational Psychology","Edal Psych","26 Mar 2001",""
"PK.5","Psychological Testing","Psychological Testing","26 Mar 2001",""
"PK.51","Psychometry","Psychometry","26 Mar 2001",""
"PK.52","Graphology","Grphology","26 Mar 2001",""
"PK.7","Hypnotherapy","Hypnothapy","26 Mar 2001",""
"PK.71","Self Hypnosis","Self Hypnosis","26 Mar 2001",""
"PK.8","Psychology Specialisations","Psych Specisations","26 Mar 2001",""
"PK.81","Cognitive Psychology","Cognitive Psych","26 Mar 2001",""
"PK.82","Environmental Psychology","Enval Psych","26 Mar 2001",""
"PK.83","Occupational Psychology","Occal Psych","26 Mar 2001",""
"PK.831","Industrial Psychology","Ind Psych","26 Mar 2001",""
"PK.832","Organisational Psychology","Orgal Psych","26 Mar 2001",""
"PK.8321","Organisational Behaviour","Orgal Bhvr","26 Mar 2001",""
"PK.84","Social Psychology","Soc Psych","26 Mar 2001",""
"PK.85","Psychopathology","Psychopathology","26 Mar 2001",""
"PK.86","Human Sexuality","Human Sexity","26 Mar 2001",""
"PK.861","Psychosexual / Sexual Counselling","Psychosex/ Sex Cnslg","26 Mar 2001",""
"PK.87","Psychological Counselling","Psychological Cnslg","26 Mar 2001",""
