"AwardOrgCode","AwardOrgUKPRN","AwardOrgName","AwardOrgShortName","AwardOrgAcronym","AwardOrgNonExtant","AwardOrgNotes","AwardOrgHigherEducationInstitution","EffectiveFrom","EffectiveTo"
"OPENAWRD","10022700","Open Awards","","","N","","N","01 Jun 2011",""
"OPENCOLLEGEWESTMID","","RES","","","","","","01 Jan 2015",""
"OPENCOLLNETWESTMID","10033858","Open College Network West Midlands Region","West Midlands OCN","OCNWM","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"OPITO","10001531","OPITO (formerly Cogent Sector Services Ltd)","","","N","","N","26 Mar 2001",""
"OTHM","10032618","The Organisation for Tourism and Hospitality Management","","","N","","N","01 Apr 2010",""
"OU","10007773","Open University (The)","The Open University","","N","","Y","26 Mar 2001",""
"PAAVQSET","10028273","Process Awards Authority","","","N","","N","26 Mar 2001",""
"PADI","90000504","PADI International Ltd","PADI","PADI","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"PARALEG","10028474","National Association of Paralegals","Nat Assoc Para-Legals","","N","","N","26 Mar 2001",""
"PCD","90000558","Centre for Professionals Complementary to Dentistry","","QMUL/PCD","N","","N","20 Jun 2003",""
"PCN","90000579","PCN (Personnel Certification in Non-Destructive Testing)","","","N","","N","26 Mar 2001",""
"PIABC","90000518","PIABC (Formerly known as Packaging Industry Awarding Body)","","PIABC","N","EZ 0607AU: VT: Mod","N","20 Jun 2003",""
"PLA","90000573","Port of London Authority","Port of London Authority","PLA","N","","N","26 Mar 2001",""
"PMI","10022717","Pensions Management Institute (The)","Pensions Management Inst","PMI","N","","N","26 Mar 2001",""
"PPEB","90000590","Police Promotion Examinations Board","","PPEB","N","","N","26 Mar 2001",""
"PPLFIRST","10005046","People1st (Formerly Stonebow/People 1st)","","","N","","N","21 Jul 2005",""
"PROQUAL","10036649","ProQual","","","N","","N","01 Feb 2011",""
"PRTRUST","10005213","Prince's Trust","","","N","","N","01 Sep 2010",""
"PTUK","90000530","Play Therapy UK","Play Therapy UK","","N","","N","13 Mar 2003",""
"PU","10007155","University of Portsmouth","","","N","","Y","26 Mar 2001",""
"QA","10035908","Qualsafe Awards","","","N","","N","01 Aug 2011",""
"QNUK","10022704","Qualifications Network","Qualifications Network","","N","","N","01 Sep 2007",""
"QUALIFI","10031122","Qualifi Ltd","","","N","","N","01 May 2012",""
"RAD","10005544","Royal Academy of Dance","Royal Academy of Dance","RAD","N","","N","26 Mar 2001",""
"RADI","90000586","Register of Approved Driving Instructors","Reg Approved Driving Instruct","RADI","N","","N","26 Mar 2001",""
"RAU","10005545","Royal Agricultural University (Formerly known as Royal Agricultural College)","","","N","","Y","01 Jan 2006",""
"RAVENSBOURNE","10005389","Ravensbourne University London","","","N","","Y","01 Aug 2017",""
"RCVS","10022769","Royal College of Veterinary Surgeons (The)","Royal College of Vet. Surgeons","RCVS","N","","N","26 Mar 2001",""
"REC","10008044","Recruitment and Employment Confederation","Inst of Employment Consultants","REC","N","","N","26 Mar 2001",""
"REDCROSS","10000932","British Red Cross","","BRC","N","","N","26 Mar 2001",""
"RFS","90000539","Royal Forestry Society of England Wales & Northern Ireland","Royal Forestry Society","RFS","N","","N","26 Mar 2001",""
"RHS","10008671","Royal Horticultural Society","Royal Horticultural Society","RHS","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"RIPH","","Royal Institute of Public Health (The)","Royal Institute of Public Heal","RIPH","Y","See RSPH award organisation code","N","26 Mar 2001","31 Jul 2015"
"RLSS","10033742","Royal Life Saving Society UK","","RLSS UK","N","","N","26 Mar 2001",""
"RMP","90000554","Radcliffe Medical Press","RMP","RMP","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ROSPA","10005562","Royal Society for the Prevention of Accidents","","ROSPA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ROYAGCOL","10005545","Royal Agricultural College","Royal Agricultural College","","N","","N","01 Jan 2006",""
"RPII","10036650","Register of Play Inspectors International Ltd","","","N","","N","01 Jul 2013",""
"RSL","10022705","Rock School Ltd","","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"RSPH","10030817","Royal Society for Public Health (Formerly Royal Society for the Promotion of Health)","","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"RTITB","90000565","RTITB Limited","RTITB Ltd","RTITB","N","","N","26 Mar 2001",""
"RYA","10013315","Royal Yachting Association","Royal Yachting Association","RYA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"SAAVA","","Southern Area Access Validating Agency","","","Y","EZ 0607AU: VT: Mod \ See OCNLR award organisation code","N","26 Mar 2001","31 Jul 2015"
"SALFU","10007156","University of Salford","SALFU","SALFU","N","Formerly Salford University","Y","26 Mar 2001",""
"SAPA","90000543","Safety Pass Alliance (SPA) Ltd","","SPA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"SBP","10025454","Society of Business Practitioners","Society of Business Practition","SBP","N","","N","26 Mar 2001",""
"SBU","10004078","London South Bank University","","SBU","N","Formerly South Bank University","Y","26 Mar 2001",""
"SDC","10005977","South Devon College (trading as University Centre South Devon)","South Devon College","","N","","Y","18 Mar 2019",""
"SEQ","","Swim England Qualifications","Swim England Quals","SEQ","N","","N","01 Apr 2010",""
"SFEDI","10022212","SFEDI Enterprises Ltd","","","N","","N","01 Feb 2010",""
"SFIA","10012916","Sea Fish Industry Authority","Sea Fish Industry Auth","Seafish","N","","N","26 Mar 2001",""
"SFJAWARD","90000506","SFJ Awards","","","N","","N","01 Jul 2012",""
"SHU","10005790","Sheffield Hallam University","","","N","","Y","26 Mar 2001",""
"SIGNAT","10009484","Signature","","SIGNATURE","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"SKILLSAC","10018958","SkillsActive","SkillsActive","","N","","N","01 Jun 2006",""
"SKILLSFR","10030276","Skillsfirst Awards Ltd","","","N","","N","01 Oct 2009",""
"SLSA","90000578","Surf Life Saving Association of Great Britain","","SLSA","N","","N","01 Nov 2002",""
"SMAE","90000509","SMAE Institute (The)","","SMAE","N","","N","26 Mar 2001",""
"SMC","10039175","Worshipful Company of Spectacle Makers","","SMC","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"SPORTLUK","10022709","Sport Leaders UK","Sport Leaders UK","","N","","N","01 Jul 2006",""
"SQA","10038755","Scottish Qualifications Authority","","SQA","N","","N","26 Mar 2001",""
"SQUASH","10027419","England Squash","","","N","EZ 0607AU: VT: Mod","N","20 Jun 2003",""
"SSAM","90000505","Society of Sales & Marketing","Society of Sales & Marketing","SSAM","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"SST","90000613","Society of Sports Therapists","","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"SSU","10006022","Southampton Solent University","","","N","","Y","26 Mar 2001",""
"STA","10036651","Safety Training Awards","Safety Training Awards","STA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"STAFFU","10006299","Staffordshire University","STAFFU","","N","","Y","26 Mar 2001",""
"STGEO","10007782","St. George's University of London","St Georges Uni of London","STGEO","N","","Y","01 Aug 2009",""
"STJOHN","10006186","St John Ambulance","St John Ambulance","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"STONEBOW","","Stonebow/People 1st","Stonebow","","Y","See PPLFIRST award organisation code","N","21 Jul 2005","31 Jul 2015"
"TCL","10007049","Trinity College London","Trinity College London","TCL","N","","N","26 Mar 2001",""
"TEELINE","90000595","Teeline Education","Teeline Education Ltd","TEELINE","N","","N","26 Mar 2001",""
